Identifier (RIC),Company Name,"ESG Score
(FY0)
(Σ=Avg)","ESG Period Last Update Date
(FY0)","ESG Score
(FY-1)
(Σ=Avg)","YoY % Chg in
ESG Score
(FY0)
(Σ=Avg)",Ticker Symbol,TRBC Economic Sector Name,"Original Announcement Date Time
(FY0)","Market Cap
(Σ=Avg)","Beta
(Σ=Avg)"
MLKN.OQ,MillerKnoll Inc,77.21 (A-),29/03/2023,69.00 (B+),11.9% (D-),MLKN,Industrials,29/06/2022,"1,387,778,329.80",1.43
ICFI.OQ,ICF International Inc,77.07 (A-),31/03/2023,77.41 (A-),-0.4% (D),ICFI,Industrials,28/02/2023,"2,040,681,401.46",0.6
FCN.N,FTI Consulting Inc,76.27 (A-),31/03/2023,78.71 (A-),-3.1% (D),FCN,Industrials,23/02/2023,"6,798,632,524.80",0.28
HRI.N,Herc Holdings Inc,76.27 (A-),29/03/2023,77.39 (A-),-1.5% (D),HRI,Industrials,14/02/2023,"2,984,536,367.10",2.48
ACCO.N,ACCO Brands Corp,76.13 (A-),29/03/2023,74.76 (B+),1.8% (D-),ACCO,Industrials,23/02/2023,"476,485,217.48",1.84
KELYA.OQ,Kelly Services Inc,75.97 (A-),29/03/2023,77.13 (A-),-1.5% (D),KELYA,Industrials,16/02/2023,"605,435,417.10",1.12
NOC.N,Northrop Grumman Corp,75.85 (A-),31/03/2023,80.77 (A-),-6.1% (D),NOC,Industrials,26/01/2023,"71,521,441,484.07",0.5
URI.N,United Rentals Inc,75.22 (A-),29/03/2023,81.01 (A-),-7.1% (D),URI,Industrials,25/01/2023,"24,650,422,805.53",1.83
AGCO.N,AGCO Corp,74.01 (B+),31/03/2023,57.66 (B-),28.3% (D-),AGCO,Industrials,07/02/2023,"8,899,212,823.30",1.35
WTS.N,Watts Water Technologies Inc,73.69 (B+),29/03/2023,65.71 (B),12.1% (D-),WTS,Industrials,08/02/2023,"5,175,596,683.96",1.01
JBHT.OQ,J B Hunt Transport Services Inc,73.69 (B+),29/03/2023,68.13 (B+),8.2% (D-),JBHT,Industrials,18/01/2023,"17,644,075,330.98",1.14
ABM.N,ABM Industries Inc,73.52 (B+),29/03/2023,76.53 (A-),-3.9% (D),ABM,Industrials,13/12/2022,"2,898,086,689.28",1.09
FDX.N,FedEx Corp,72.94 (B+),29/03/2023,74.30 (B+),-1.8% (D),FDX,Industrials,23/06/2022,"58,338,784,577.70",1.34
CCRN.OQ,Cross Country Healthcare Inc,72.90 (B+),29/03/2023,73.63 (B+),-1.0% (D),CCRN,Industrials,22/02/2023,"774,970,273.50",0.99
TEX.N,Terex Corp,72.88 (B+),29/03/2023,68.14 (B+),7.0% (D-),TEX,Industrials,09/02/2023,"2,945,745,385.22",1.64
DE.N,Deere & Co,72.50 (B+),29/03/2023,71.29 (B+),1.7% (D-),DE,Industrials,23/11/2022,"109,535,528,214.45",1.05
UNP.N,Union Pacific Corp,72.32 (B+),09/03/2023,75.99 (A-),-4.8% (D),UNP,Industrials,24/01/2023,"121,220,727,231.76",1.11
HUBB.N,Hubbell Inc,72.22 (B+),29/03/2023,57.52 (B-),25.6% (D-),HUBB,Industrials,31/01/2023,"11,855,832,556.32",1
PWR.N,Quanta Services Inc,72.10 (B+),29/03/2023,45.88 (C+),57.1% (D-),PWR,Industrials,23/02/2023,"22,914,803,065.86",1.08
ENS.N,EnerSys,71.78 (B+),29/03/2023,64.59 (B),11.1% (D-),ENS,Industrials,25/05/2022,"3,256,603,693.56",1.38
SPR.N,Spirit AeroSystems Holdings Inc,71.71 (B+),29/03/2023,77.13 (A-),-7.0% (D),SPR,Industrials,07/02/2023,"3,621,666,797.64",1.64
MAN.N,ManpowerGroup Inc,71.14 (B+),29/03/2023,78.69 (A-),-9.6% (D),MAN,Industrials,31/01/2023,"3,963,744,117.90",1.65
XPO.N,XPO Inc,71.14 (B+),31/03/2023,58.05 (B-),22.6% (D-),XPO,Industrials,08/02/2023,"3,464,950,000.00",2.19
MCO.N,Moody's Corp,71.11 (B+),31/03/2023,73.09 (B+),-2.7% (D),MCO,Industrials,31/01/2023,"54,727,782,807.60",1.3
LUV.N,Southwest Airlines Co,71.01 (B+),29/03/2023,68.36 (B+),3.9% (D-),LUV,Industrials,26/01/2023,"18,793,079,402.76",1.14
FLR.N,Fluor Corp,70.92 (B+),29/03/2023,62.81 (B),12.9% (D-),FLR,Industrials,21/02/2023,"4,041,274,969.44",2.29
TTC.N,Toro Co,70.75 (B+),29/03/2023,55.57 (B-),27.3% (D-),TTC,Industrials,21/12/2022,"10,530,663,250.14",0.73
RSG.N,Republic Services Inc,70.45 (B+),29/03/2023,70.92 (B+),-0.7% (D),RSG,Industrials,15/02/2023,"42,914,253,127.50",0.66
FDS.N,Factset Research Systems Inc,69.85 (B+),29/03/2023,68.50 (B+),2.0% (D-),FDS,Industrials,22/09/2022,"15,510,961,138.30",0.83
DAL.N,Delta Air Lines Inc,69.40 (B+),29/03/2023,66.64 (B),4.1% (D-),DAL,Industrials,13/01/2023,"21,603,330,286.95",1.25
MSCI.N,MSCI Inc,69.38 (B+),29/03/2023,61.25 (B),13.3% (D-),MSCI,Industrials,31/01/2023,"42,725,630,623.00",1.15
UPS.N,United Parcel Service Inc,69.36 (B+),29/03/2023,70.95 (B+),-2.2% (D),UPS,Industrials,31/01/2023,"161,554,390,687.62",1.09
PCAR.OQ,Paccar Inc,69.05 (B+),31/03/2023,69.03 (B+),0.0% (D-),PCAR,Industrials,24/01/2023,"35,789,790,374.73",0.92
HSC.N,Harsco Corp,68.89 (B+),29/03/2023,63.39 (B),8.7% (D-),HSC,Industrials,27/02/2023,"506,429,752.92",2.06
EMR.N,Emerson Electric Co,68.87 (B+),29/03/2023,72.00 (B+),-4.3% (D),EMR,Industrials,31/10/2022,"47,597,620,000.00",1.39
PH.N,Parker-Hannifin Corp,68.28 (B+),31/03/2023,61.26 (B),11.5% (D-),PH,Industrials,04/08/2022,"40,079,286,394.10",1.5
HWM.N,Howmet Aerospace Inc,68.25 (B+),31/03/2023,58.75 (B),16.2% (D-),HWM,Industrials,14/02/2023,"17,110,465,382.55",1.45
HXL.N,Hexcel Corp,68.24 (B+),31/03/2023,63.21 (B),8.0% (D-),HXL,Industrials,25/01/2023,"5,532,457,160.16",1.23
NPO.N,EnPro Industries Inc,68.23 (B+),29/03/2023,71.53 (B+),-4.6% (D),NPO,Industrials,21/02/2023,"2,009,070,694.00",1.45
OTIS.N,Otis Worldwide Corp,68.22 (B+),29/03/2023,60.86 (B),12.1% (D-),OTIS,Industrials,01/02/2023,"32,435,423,996.93",0.84
MSM.N,MSC Industrial Direct Co Inc,68.14 (B+),29/03/2023,66.35 (B),2.7% (D-),MSM,Industrials,20/10/2022,"4,723,978,265.65",0.99
MGRC.OQ,McGrath RentCorp,68.12 (B+),29/03/2023,66.26 (B),2.8% (D-),MGRC,Industrials,22/02/2023,"2,159,218,434.72",0.77
GVA.N,Granite Construction Inc,68.07 (B+),29/03/2023,68.24 (B+),-0.3% (D),GVA,Industrials,16/02/2023,"1,686,351,862.80",1.41
AAL.OQ,American Airlines Group Inc,67.95 (B+),29/03/2023,60.23 (B),12.8% (D-),AAL,Industrials,26/01/2023,"9,145,959,038.91",1.54
LMT.N,Lockheed Martin Corp,67.79 (B+),31/03/2023,71.17 (B+),-4.8% (D),LMT,Industrials,24/01/2023,"124,757,550,780.48",0.66
R.N,Ryder System Inc,67.70 (B+),29/03/2023,70.78 (B+),-4.4% (D),R,Industrials,15/02/2023,"3,874,962,514.50",1.56
RTX.N,Raytheon Technologies Corp,67.43 (B+),31/03/2023,65.45 (B),3.0% (D-),RTX,Industrials,24/01/2023,"143,701,664,063.65",1.06
KBAL.OQ,Kimball International Inc,67.10 (B+),29/03/2023,56.07 (B-),19.7% (D-),KBAL,Industrials,04/08/2022,"445,993,957.50",1.11
CIR.N,Circor International Inc,66.87 (B+),29/03/2023,63.62 (B),5.1% (D-),CIR,Industrials,15/03/2023,"600,165,184.71",2.16
CTAS.OQ,Cintas Corp,66.87 (B+),29/03/2023,68.43 (B+),-2.3% (D),CTAS,Industrials,14/07/2022,"45,941,755,920.92",1.34
TKR.N,Timken Co,66.58 (B),31/03/2023,58.58 (B),13.7% (D-),TKR,Industrials,06/02/2023,"5,351,268,171.12",1.55
NDSN.OQ,Nordson Corp,66.41 (B),29/03/2023,63.26 (B),5.0% (D-),NDSN,Industrials,14/12/2022,"12,025,949,549.46",0.92
BR.N,Broadridge Financial Solutions Inc,66.16 (B),29/03/2023,77.74 (A-),-14.9% (D),BR,Industrials,12/08/2022,"16,618,253,859.20",1.01
CXT.N,Crane NXT Co,66.09 (B),31/03/2023,51.29 (B-),28.9% (D-),CXT,Industrials,23/01/2023,"2,486,270,205.81",
ROK.N,Rockwell Automation Inc,66.03 (B),29/03/2023,61.62 (B),7.1% (D-),ROK,Industrials,02/11/2022,"31,238,042,951.05",1.43
TRU.N,TransUnion,65.97 (B),29/03/2023,63.90 (B),3.2% (D-),TRU,Industrials,14/02/2023,"11,868,096,860.16",1.37
NSC.N,Norfolk Southern Corp,65.92 (B),31/03/2023,65.44 (B),0.7% (D-),NSC,Industrials,25/01/2023,"46,757,094,183.30",1.29
LHX.N,L3Harris Technologies Inc,64.52 (B),29/03/2023,67.70 (B+),-4.7% (D),LHX,Industrials,27/01/2023,"37,423,335,975.30",0.71
REVG.N,REV Group Inc,63.98 (B),29/03/2023,59.69 (B),7.2% (D-),REVG,Industrials,14/12/2022,"680,767,707.75",1.91
TBI.N,TrueBlue Inc,63.82 (B),31/03/2023,64.71 (B),-1.4% (D),TBI,Industrials,01/02/2023,"565,632,073.95",1.45
ENR.N,Energizer Holdings Inc,63.55 (B),29/03/2023,57.65 (B-),10.2% (D-),ENR,Industrials,15/11/2022,"2,317,804,624.85",1.01
ACM.N,AECOM,63.44 (B),29/03/2023,52.03 (B-),21.9% (D-),ACM,Industrials,14/11/2022,"11,153,537,530.74",1.29
UPWK.OQ,Upwork Inc,63.31 (B),31/03/2023,46.31 (C+),36.7% (D-),UPWK,Industrials,15/02/2023,"1,368,475,106.97",1.52
FSS.N,Federal Signal Corp,63.29 (B),29/03/2023,61.16 (B),3.5% (D-),FSS,Industrials,01/03/2023,"3,069,933,171.92",1.08
HNI.N,HNI Corp,63.27 (B),29/03/2023,50.53 (B-),25.2% (D-),HNI,Industrials,23/02/2023,"1,106,084,729.06",0.93
GD.N,General Dynamics Corp,63.08 (B),29/03/2023,53.85 (B-),17.1% (D-),GD,Industrials,25/01/2023,"62,555,063,230.59",0.83
CXW.N,CoreCivic Inc,62.80 (B),29/03/2023,53.44 (B-),17.5% (D-),CXW,Industrials,08/02/2023,"1,070,994,085.74",0.96
DOV.N,Dover Corp,62.73 (B),31/03/2023,65.05 (B),-3.6% (D),DOV,Industrials,31/01/2023,"19,787,336,866.44",1.36
MYRG.OQ,MYR Group Inc,62.47 (B),31/03/2023,55.43 (B-),12.7% (D-),MYRG,Industrials,22/02/2023,"2,044,827,647.40",1.02
EXPD.OQ,Expeditors International of Washington Inc,62.40 (B),29/03/2023,56.41 (B-),10.6% (D-),EXPD,Industrials,21/02/2023,"16,271,958,773.70",1
OSK.N,Oshkosh Corp,62.39 (B),29/03/2023,68.04 (B+),-8.3% (D),OSK,Industrials,31/01/2023,"5,000,031,325.74",1.39
MORN.OQ,Morningstar Inc,62.15 (B),29/03/2023,56.97 (B-),9.1% (D-),MORN,Industrials,23/02/2023,"8,765,915,029.20",1.2
DCI.N,Donaldson Company Inc,62.11 (B),29/03/2023,43.00 (C+),44.5% (D-),DCI,Industrials,31/08/2022,"7,395,418,956.22",1.21
ATKR.N,Atkore Inc,61.97 (B),29/03/2023,65.21 (B),-5.0% (D),ATKR,Industrials,18/11/2022,"4,815,623,295.70",2.19
PAYX.OQ,Paychex Inc,61.91 (B),29/03/2023,58.33 (B),6.1% (D-),PAYX,Industrials,29/06/2022,"39,308,920,000.00",0.97
WAB.N,Westinghouse Air Brake Technologies Corp,61.91 (B),29/03/2023,58.98 (B),5.0% (D-),WAB,Industrials,15/02/2023,"17,343,420,992.04",1.48
GTES.N,Gates Industrial Corporation PLC,61.91 (B),29/03/2023,54.98 (B-),12.6% (D-),GTES,Industrials,09/02/2023,"3,634,282,681.80",1.53
VMI.N,Valmont Industries Inc,61.80 (B),29/03/2023,55.16 (B-),12.0% (D-),VMI,Industrials,22/02/2023,"6,231,663,541.53",1.08
SRCL.OQ,Stericycle Inc,61.78 (B),29/03/2023,71.30 (B+),-13.4% (D),SRCL,Industrials,23/02/2023,"3,857,452,512.42",1.23
LII.N,Lennox International Inc,61.74 (B),29/03/2023,60.35 (B),2.3% (D-),LII,Industrials,31/01/2023,"8,348,290,996.54",0.93
TNC.N,Tennant Co,61.64 (B),29/03/2023,59.26 (B),4.0% (D-),TNC,Industrials,23/02/2023,"1,215,500,569.92",1.09
FISV.OQ,Fiserv Inc,61.20 (B),29/03/2023,34.92 (C),75.2% (D-),FISV,Industrials,07/02/2023,"70,422,093,465.21",0.85
WCC.N,Wesco International Inc,61.00 (B),29/03/2023,59.82 (B),2.0% (D-),WCC,Industrials,14/02/2023,"6,843,764,338.66",1.97
AL.N,Air Lease Corp,60.47 (B),29/03/2023,53.86 (B-),12.3% (D-),AL,Industrials,16/02/2023,"4,317,389,606.02",1.78
CARR.N,Carrier Global Corp,60.39 (B),31/03/2023,56.29 (B-),7.3% (D-),CARR,Industrials,07/02/2023,"34,900,972,658.20",1.28
HSII.OQ,Heidrick & Struggles International Inc,60.39 (B),29/03/2023,55.68 (B-),8.5% (D-),HSII,Industrials,27/02/2023,"569,420,804.69",0.83
MWA.N,Mueller Water Products Inc,60.32 (B),29/03/2023,51.77 (B-),16.5% (D-),MWA,Industrials,07/11/2022,"2,040,809,655.34",1.31
MATX.N,Matson Inc,60.28 (B),29/03/2023,52.09 (B-),15.7% (D-),MATX,Industrials,21/02/2023,"2,049,825,650.07",1.16
EPAC.N,Enerpac Tool Group Corp,59.75 (B),09/03/2023,50.94 (B-),17.3% (D-),EPAC,Industrials,28/09/2022,"1,364,319,404.98",1.36
CSX.OQ,CSX Corp,58.92 (B),31/03/2023,53.78 (B-),9.5% (D-),CSX,Industrials,25/01/2023,"61,919,415,128.68",1.22
RRX.N,Regal Rexnord Corp,58.68 (B),31/03/2023,62.67 (B),-6.4% (D),RRX,Industrials,01/02/2023,"8,423,826,744.84",1.07
MRC.N,MRC Global Inc,58.63 (B),29/03/2023,56.76 (B-),3.3% (D-),MRC,Industrials,13/02/2023,"783,656,046.30",2.18
ALG.N,Alamo Group Inc,58.43 (B),31/03/2023,52.74 (B-),10.8% (D-),ALG,Industrials,23/02/2023,"2,007,079,271.85",0.98
ATI.N,ATI Inc,58.31 (B-),29/03/2023,59.97 (B),-2.8% (D),ATI,Industrials,02/02/2023,"4,836,986,428.11",1.2
ARCB.OQ,ArcBest Corp,58.26 (B-),29/03/2023,49.15 (C+),18.5% (D-),ARCB,Industrials,03/02/2023,"2,173,304,501.42",1.56
GLDD.OQ,Great Lakes Dredge & Dock Corp,58.14 (B-),29/03/2023,59.12 (B),-1.7% (D),GLDD,Industrials,15/02/2023,"354,884,299.90",0.97
JBT.N,John Bean Technologies Corp,57.90 (B-),29/03/2023,46.03 (C+),25.8% (D-),JBT,Industrials,21/02/2023,"3,256,735,445.90",1.4
BWXT.N,BWX Technologies Inc,57.71 (B-),31/03/2023,51.87 (B-),11.3% (D-),BWXT,Industrials,23/02/2023,"5,692,043,076.75",0.8
LECO.OQ,Lincoln Electric Holdings Inc,56.99 (B-),29/03/2023,55.80 (B-),2.1% (D-),LECO,Industrials,21/02/2023,"8,880,377,616.24",1.16
FIX.N,Comfort Systems USA Inc,56.96 (B-),31/03/2023,36.02 (C),58.1% (D-),FIX,Industrials,22/02/2023,"4,620,936,944.71",1.23
DNB.N,Dun & Bradstreet Holdings Inc,56.73 (B-),29/03/2023,23.92 (D+),137.2% (D-),DNB,Industrials,16/02/2023,"5,004,547,344.75",0.89
VVX.N,V2X Inc,56.39 (B-),31/03/2023,60.47 (B),-6.7% (D),VVX,Industrials,02/03/2023,"1,249,505,812.10",0.95
AOS.N,A O Smith Corp,56.32 (B-),31/03/2023,53.66 (B-),4.9% (D-),AOS,Industrials,31/01/2023,"9,749,139,103.60",1.27
GTLS.N,Chart Industries Inc,56.21 (B-),29/03/2023,43.69 (C+),28.7% (D-),GTLS,Industrials,24/02/2023,"4,555,807,749.92",0.75
BMI.N,Badger Meter Inc,56.00 (B-),29/03/2023,53.49 (B-),4.7% (D-),BMI,Industrials,27/01/2023,"3,484,085,869.88",0.88
ALK.N,Alaska Air Group Inc,55.77 (B-),29/03/2023,49.82 (C+),11.9% (D-),ALK,Industrials,26/01/2023,"5,358,609,513.84",1.52
KEX.N,Kirby Corp,55.66 (B-),29/03/2023,52.15 (B-),6.7% (D-),KEX,Industrials,31/01/2023,"4,064,215,800.00",1.27
WNC.N,Wabash National Corp,55.63 (B-),29/03/2023,56.06 (B-),-0.8% (D),WNC,Industrials,02/02/2023,"1,028,487,712.46",1.61
KMT.N,Kennametal Inc,55.52 (B-),29/03/2023,54.06 (B-),2.7% (D-),KMT,Industrials,01/08/2022,"2,042,165,277.92",1.89
MTRX.OQ,Matrix Service Co,55.22 (B-),29/03/2023,50.59 (B-),9.2% (D-),MTRX,Industrials,07/10/2022,"140,595,291.20",1.61
GXO.N,GXO Logistics Inc,55.20 (B-),29/03/2023,,,GXO,Industrials,14/02/2023,"5,735,683,913.19",1.86
MTZ.N,MasTec Inc,55.18 (B-),29/03/2023,56.79 (B-),-2.8% (D),MTZ,Industrials,23/02/2023,"6,894,128,236.52",1.37
GBX.N,Greenbrier Companies Inc,54.98 (B-),29/03/2023,47.39 (C+),16.0% (D-),GBX,Industrials,27/10/2022,"990,365,125.32",1.49
JBLU.OQ,JetBlue Airways Corp,54.92 (B-),29/03/2023,52.59 (B-),4.4% (D-),JBLU,Industrials,26/01/2023,"2,269,073,861.24",1.59
CLH.N,Clean Harbors Inc,54.82 (B-),29/03/2023,48.90 (C+),12.1% (D-),CLH,Industrials,01/03/2023,"7,242,390,955.70",1.38
UNF.N,UniFirst Corp,54.81 (B-),29/03/2023,48.17 (C+),13.8% (D-),UNF,Industrials,19/10/2022,"3,143,964,824.46",0.91
MOGa.N,Moog Inc,54.30 (B-),29/03/2023,41.37 (C),31.3% (D-),MOG.A,Industrials,04/11/2022,"3,126,944,772.99",1.24
UAL.OQ,United Airlines Holdings Inc,54.21 (B-),29/03/2023,50.31 (B-),7.8% (D-),UAL,Industrials,17/01/2023,"13,953,787,252.02",1.42
VVI.N,Viad Corp,53.98 (B-),29/03/2023,58.89 (B),-8.3% (D),VVI,Industrials,09/02/2023,"390,954,994.30",1.75
CAR.OQ,Avis Budget Group Inc,53.91 (B-),29/03/2023,49.71 (C+),8.4% (D-),CAR,Industrials,13/02/2023,"7,214,173,606.08",2.33
KAI.N,Kadant Inc,53.58 (B-),29/03/2023,48.88 (C+),9.6% (D-),KAI,Industrials,15/02/2023,"2,238,764,785.86",1.2
KFY.N,Korn Ferry,53.34 (B-),29/03/2023,45.65 (C+),16.8% (D-),KFY,Industrials,22/06/2022,"2,601,064,030.04",1.5
3665.TW,BizLink Holding Inc,53.20 (B-),09/03/2023,54.21 (B-),-1.9% (D),3665,Industrials,31/03/2023,"1,394,050,211.96",0.49
BV.N,Brightview Holdings Inc,53.19 (B-),29/03/2023,37.11 (C),43.3% (D-),BV,Industrials,17/11/2022,"496,485,000.00",1.32
IEX.N,IDEX Corp,53.14 (B-),29/03/2023,58.01 (B-),-8.4% (D),IEX,Industrials,31/01/2023,"16,381,520,467.52",1
CBZ.N,CBIZ Inc,53.10 (B-),31/03/2023,51.72 (B-),2.7% (D-),CBZ,Industrials,16/02/2023,"2,477,452,006.10",0.76
EAF.N,GrafTech International Ltd,52.94 (B-),29/03/2023,48.97 (C+),8.1% (D-),EAF,Industrials,03/02/2023,"1,188,420,519.74",1.37
WU.N,Western Union Co,52.74 (B-),31/03/2023,55.84 (B-),-5.6% (D),WU,Industrials,07/02/2023,"4,129,879,899.25",0.88
CHGG.N,Chegg Inc,52.65 (B-),29/03/2023,39.60 (C),32.9% (D-),CHGG,Industrials,06/02/2023,"2,053,937,093.55",1.14
FTV.N,Fortive Corp,52.18 (B-),29/03/2023,52.94 (B-),-1.4% (D),FTV,Industrials,01/02/2023,"22,731,873,673.88",1.15
TGI.N,Triumph Group Inc,51.56 (B-),29/03/2023,43.15 (C+),19.5% (D-),TGI,Industrials,18/05/2022,"713,816,728.38",2.61
CNXC.OQ,Concentrix Corp,51.44 (B-),29/03/2023,29.75 (C-),72.9% (D-),CNXC,Industrials,19/01/2023,"5,878,183,654.68",0.82
AEIS.OQ,Advanced Energy Industries Inc,51.11 (B-),29/03/2023,48.53 (C+),5.3% (D-),AEIS,Industrials,08/02/2023,"3,379,254,995.73",1.57
FAST.OQ,Fastenal Co,50.95 (B-),09/03/2023,39.65 (C),28.5% (D-),FAST,Industrials,19/01/2023,"29,393,055,960.84",1.18
SNA.N,Snap-On Inc,50.88 (B-),31/03/2023,46.63 (C+),9.1% (D-),SNA,Industrials,02/02/2023,"12,151,092,879.62",1.09
CCF.A,Chase Corp,50.87 (B-),29/03/2023,48.11 (C+),5.8% (D-),CCF,Industrials,10/11/2022,"948,145,196.25",0.73
SZL.AX,Sezzle Inc,50.86 (B-),29/03/2023,54.11 (B-),-6.0% (D),SZL,Industrials,28/02/2023,"96,497,946.34",4.84
CWST.OQ,Casella Waste Systems Inc,50.71 (B-),29/03/2023,40.97 (C),23.8% (D-),CWST,Industrials,16/02/2023,"4,229,380,165.20",0.92
SP.OQ,SP Plus Corp,50.67 (B-),29/03/2023,42.63 (C+),18.9% (D-),SP,Industrials,22/02/2023,"656,425,293.92",1.36
WWD.OQ,Woodward Inc,50.63 (B-),29/03/2023,50.44 (B-),0.4% (D-),WWD,Industrials,17/11/2022,"5,572,070,832.10",1.46
WLY.N,John Wiley & Sons Inc,50.51 (B-),29/03/2023,43.21 (C+),16.9% (D-),WLY,Industrials,15/06/2022,"2,097,075,256.50",1.03
SQ.N,Block Inc,50.29 (B-),29/03/2023,53.41 (B-),-5.8% (D),SQ,Industrials,23/02/2023,"40,997,976,388.50",2.35
MAXR.N,Maxar Technologies Inc,50.18 (B-),31/03/2023,50.12 (B-),0.1% (D-),MAXR,Industrials,22/02/2023,"3,825,709,391.98",0.87
EFX.N,Equifax Inc,50.03 (B-),31/03/2023,49.08 (C+),1.9% (D-),EFX,Industrials,08/02/2023,"24,203,077,135.56",1.46
AAON.OQ,Aaon Inc,49.92 (C+),29/03/2023,46.02 (C+),8.5% (D-),AAON,Industrials,27/02/2023,"5,020,132,890.50",0.8
FLT.N,Fleetcor Technologies Inc,49.72 (C+),29/03/2023,39.95 (C),24.5% (D-),FLT,Industrials,08/02/2023,"15,262,733,826.56",1.2
NSP.N,Insperity Inc,49.34 (C+),29/03/2023,32.19 (C-),53.3% (D-),NSP,Industrials,09/02/2023,"4,566,428,726.08",1.25
DLX.N,Deluxe Corp,49.10 (C+),29/03/2023,51.67 (B-),-5.0% (D),DLX,Industrials,02/02/2023,"678,846,794.80",1.55
YELL.OQ,Yellow Corp,49.03 (C+),29/03/2023,29.32 (C-),67.2% (D-),YELL,Industrials,09/02/2023,"93,773,804.92",2.82
ACA.N,Arcosa Inc,48.80 (C+),29/03/2023,44.07 (C+),10.7% (D-),ACA,Industrials,23/02/2023,"2,842,279,697.88",0.56
MRCY.OQ,Mercury Systems Inc,48.71 (C+),29/03/2023,45.34 (C+),7.4% (D-),MRCY,Industrials,02/08/2022,"2,980,934,654.40",1
CECO.OQ,CECO Environmental Corp,48.33 (C+),29/03/2023,41.20 (C),17.3% (D-),CECO,Industrials,06/03/2023,"433,691,344.80",1.33
DNOW.N,NOW Inc,48.32 (C+),31/03/2023,47.50 (C+),1.7% (D-),DNOW,Industrials,16/02/2023,"1,150,799,968.08",1.61
SXI.N,Standex International Corp,48.32 (C+),29/03/2023,28.09 (C-),72.0% (D-),SXI,Industrials,05/08/2022,"1,389,213,851.22",1.2
AQUA.N,Evoqua Water Technologies Corp,48.31 (C+),29/03/2023,49.17 (C+),-1.7% (D),AQUA,Industrials,15/11/2022,"5,842,941,932.10",1.79
SNDR.N,Schneider National Inc,48.25 (C+),31/03/2023,29.77 (C-),62.1% (D-),SNDR,Industrials,02/02/2023,"4,603,873,617.54",1.05
DCO.N,Ducommun Inc,48.13 (C+),29/03/2023,41.97 (C+),14.7% (D-),DCO,Industrials,16/02/2023,"638,379,900.00",1.34
HUBG.OQ,Hub Group Inc,48.11 (C+),29/03/2023,42.90 (C+),12.1% (D-),HUBG,Industrials,02/02/2023,"2,604,276,235.96",0.91
ALSN.N,Allison Transmission Holdings Inc,47.93 (C+),29/03/2023,46.30 (C+),3.5% (D-),ALSN,Industrials,15/02/2023,"3,975,178,273.20",0.98
EME.N,EMCOR Group Inc,47.92 (C+),31/03/2023,53.00 (B-),-9.6% (D),EME,Industrials,23/02/2023,"7,287,652,652.40",1.09
ASTE.OQ,Astec Industries Inc,47.80 (C+),29/03/2023,42.16 (C+),13.4% (D-),ASTE,Industrials,01/03/2023,"870,388,926.12",1.5
AME.N,AMETEK Inc,47.44 (C+),29/03/2023,46.39 (C+),2.3% (D-),AME,Industrials,02/02/2023,"31,145,495,782.50",1.23
CMCO.OQ,Columbus McKinnon Corp,47.14 (C+),29/03/2023,38.32 (C),23.0% (D-),CMCO,Industrials,25/05/2022,"966,978,893.40",1.24
VRT.N,Vertiv Holdings Co,47.05 (C+),29/03/2023,41.73 (C+),12.7% (D-),VRT,Industrials,22/02/2023,"4,675,193,264.94",1.44
ACTG.OQ,Acacia Research Corp,47.02 (C+),29/03/2023,14.84 (D),216.9% (D-),ACTG,Industrials,16/03/2023,"220,219,932.56",
B.N,Barnes Group Inc,46.84 (C+),29/03/2023,39.57 (C),18.4% (D-),B,Industrials,17/02/2023,"1,969,967,159.72",1.23
PRIM.N,Primoris Services Corp,46.78 (C+),09/03/2023,40.32 (C),16.0% (D-),PRIM,Industrials,27/02/2023,"1,320,651,354.08",1.24
RGP.OQ,Resources Connection Inc,46.77 (C+),29/03/2023,37.53 (C),24.6% (D-),RGP,Industrials,28/07/2022,"528,307,851.02",0.72
GEO.N,Geo Group Inc,46.60 (C+),29/03/2023,55.88 (B-),-16.6% (D),GEO,Industrials,14/02/2023,"1,010,246,666.53",0.7
VSEC.OQ,VSE Corp,46.51 (C+),29/03/2023,44.33 (C+),4.9% (D-),VSEC,Industrials,10/03/2023,"550,447,461.00",1.47
GPN.N,Global Payments Inc,46.50 (C+),29/03/2023,40.98 (C),13.5% (D-),GPN,Industrials,10/02/2023,"27,723,741,175.70",1
AIR.N,AAR Corp,46.42 (C+),29/03/2023,27.70 (C-),67.6% (D-),AIR,Industrials,21/07/2022,"1,850,567,269.16",1.59
BRC.N,Brady Corp,46.05 (C+),29/03/2023,41.38 (C),11.3% (D-),BRC,Industrials,01/09/2022,"2,560,460,731.68",0.78
BCO.N,Brinks Co,45.33 (C+),29/03/2023,31.03 (C-),46.1% (D-),BCO,Industrials,22/02/2023,"3,005,040,693.12",1.35
CHRW.OQ,CH Robinson Worldwide Inc,44.90 (C+),29/03/2023,42.06 (C+),6.8% (D-),CHRW,Industrials,01/02/2023,"10,794,810,534.57",0.81
AIN.N,Albany International Corp,44.87 (C+),31/03/2023,41.88 (C+),7.1% (D-),AIN,Industrials,13/02/2023,"2,691,935,333.97",1.32
NVEE.OQ,NV5 Global Inc,44.80 (C+),29/03/2023,38.37 (C),16.8% (D-),NVEE,Industrials,23/02/2023,"1,480,777,776.65",1.21
